"Kod","Miejscowość","Dzielnica","Ulica","Numery","Gmina","Powiat","Województwo"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"87-890","Kolonia Łódź","","","","Lubraniec","włocławski","kujawsko-pomorskie"
"91-474","Łódź","Bałuty","Biegańskiego Władysława (Doktora Władysława Biegańskiego)","28-45","Łódź","Łódź","łódzkie"
"91-745","Łódź","Bałuty","Reja Mikołaja","","Łódź","Łódź","łódzkie"
"93-247","Łódź","Górna","Felińskiego Alojzego","11-17(n)","Łódź","Łódź","łódzkie"
"93-236","Łódź","Górna","Kruczkowskiego Leona","","Łódź","Łódź","łódzkie"
"94-124","Łódź","Polesie","Bojerowa","","Łódź","Łódź","łódzkie"
"94-212","Łódź","Polesie","Lemieszowa","","Łódź","Łódź","łódzkie"
"91-360","Łódź","Bałuty","Nefrytowa","","Łódź","Łódź","łódzkie"
"91-864","Łódź","Bałuty","Stokrotki","","Łódź","Łódź","łódzkie"
"91-478","Łódź","Bałuty","Zgierska","125-127(n)","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"92-407","Łódź","Widzew","Rogowicza Stefana","","Łódź","Łódź","łódzkie"
"93-358","Łódź","Górna","Trybunalska","","Łódź","Łódź","łódzkie"
"90-717","Łódź","Polesie","1 Maja Al.","1-17(n)","Łódź","Łódź","łódzkie"
"90-222","Łódź","Śródmieście","Rewolucji 1905 R.","54-70(p)","Łódź","Łódź","łódzkie"
"91-104","Łódź","Bałuty","Bielicowa","","Łódź","Łódź","łódzkie"
"91-864","Łódź","Bałuty","Robotnicza","","Łódź","Łódź","łódzkie"
"93-582","Łódź","Górna","Felsztyńskiego Sebastiana","","Łódź","Łódź","łódzkie"
"93-443","Łódź","Górna","Kurantowa","","Łódź","Łódź","łódzkie"
"94-247","Łódź","Polesie","Borowa","","Łódź","Łódź","łódzkie"
"90-743","Łódź","Polesie","Lipowa","10-22(p), 13-27(n)","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"91-495","Łódź","Bałuty","Nenufarowa","","Łódź","Łódź","łódzkie"
"91-356","Łódź","Bałuty","Storczykowa","","Łódź","Łódź","łódzkie"
"91-488","Łódź","Bałuty","Zgierska","129-143(n)","Łódź","Łódź","łódzkie"
"92-620","Łódź","Widzew","Rokicińska","193-365(n), 218-426(p)","Łódź","Łódź","łódzkie"
"93-229","Łódź","Górna","Turbinowa","","Łódź","Łódź","łódzkie"
"90-739","Łódź","Polesie","1 Maja Al.","19-39(n)","Łódź","Łódź","łódzkie"
"90-223","Łódź","Śródmieście","Rewolucji 1905 R.","72-86(p)","Łódź","Łódź","łódzkie"
"91-536","Łódź","Bałuty","Bittdorfa Anastazego","","Łódź","Łódź","łódzkie"
"91-527","Łódź","Bałuty","Rogowska","61-DK","Łódź","Łódź","łódzkie"
"93-405","Łódź","Górna","Finansowa","1-13(n), 4-10(p)","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"93-323","Łódź","Górna","Kurczaki","1-25(n)","Łódź","Łódź","łódzkie"
"94-040","Łódź","Polesie","Bratysławska","10-14(p), 13-23(n)","Łódź","Łódź","łódzkie"
"90-546","Łódź","Polesie","Lipowa","86-DK(p), 89-DK(n)","Łódź","Łódź","łódzkie"
"91-358","Łódź","Bałuty","Niezapominajki","","Łódź","Łódź","łódzkie"
"91-487","Łódź","Bałuty","Strumykowa","","Łódź","Łódź","łódzkie"
"91-355","Łódź","Bałuty","Zgierska","180-208(p)","Łódź","Łódź","łódzkie"
"92-614","Łódź","Widzew","Rokicińska","369-433(n)","Łódź","Łódź","łódzkie"
"93-312","Łódź","Górna","Tuszyńska","112-132(p), 147-163(n)","Łódź","Łódź","łódzkie"
"90-741","Łódź","Polesie","1 Maja Al.","30-44(p)","Łódź","Łódź","łódzkie"
"90-056","Łódź","Śródmieście","Roosevelta Franklina Delano (Prezydenta Franklina Delano Roosevelta)","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"91-858","Łódź","Bałuty","Bluszczowa","","Łódź","Łódź","łódzkie"
"91-128","Łódź","Bałuty","Rojna","12-18(p)","Łódź","Łódź","łódzkie"
"93-420","Łódź","Górna","Finansowa","12-100(p), 15-107(n)","Łódź","Łódź","łódzkie"
"93-322","Łódź","Górna","Kurczaki","2-36(p), 27-39a(n)","Łódź","Łódź","łódzkie"
"94-035","Łódź","Polesie","Bratysławska","6-8a(p)","Łódź","Łódź","łódzkie"
"94-312","Łódź","Polesie","Lontowa","","Łódź","Łódź","łódzkie"
"91-183","Łódź","Bałuty","Normandzka","","Łódź","Łódź","łódzkie"
"91-725","Łódź","Bałuty","Strykowska","10-22(p), 13-49(n)","Łódź","Łódź","łódzkie"
"91-497","Łódź","Bałuty","Zgierska","201-217(n)","Łódź","Łódź","łódzkie"
"92-707","Łódź","Widzew","Ruciana","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"93-011","Łódź","Górna","Tuszyńska","1-29(n), 2-24(p)","Łódź","Łódź","łódzkie"
"90-749","Łódź","Polesie","28 Pułku Strzelców Kaniowskich","1-15(n)","Łódź","Łódź","łódzkie"
"90-423","Łódź","Śródmieście","Rubinsteina Artura Al.","","Łódź","Łódź","łódzkie"
"91-519","Łódź","Bałuty","Bociania","","Łódź","Łódź","łódzkie"
"91-127","Łódź","Bałuty","Rojna","4-10(p)","Łódź","Łódź","łódzkie"
"93-549","Łódź","Górna","Flatta Oskara","","Łódź","Łódź","łódzkie"
"93-435","Łódź","Górna","Kurpińskiego Karola","","Łódź","Łódź","łódzkie"
"94-313","Łódź","Polesie","Brus","","Łódź","Łódź","łódzkie"
"91-083","Łódź","Polesie","Lorentza Zygmunta","","Łódź","Łódź","łódzkie"
"91-716","Łódź","Bałuty","Nowopolska","1-DK(n)","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"91-531","Łódź","Bałuty","Strykowska","136-DK(p), 167-DK(n)","Łódź","Łódź","łódzkie"
"91-362","Łódź","Bałuty","Zgierska","214-240b(p)","Łódź","Łódź","łódzkie"
"92-319","Łódź","Widzew","Ruska","","Łódź","Łódź","łódzkie"
"93-020","Łódź","Górna","Tuszyńska","26-34(p), 31-45(n)","Łódź","Łódź","łódzkie"
"90-639","Łódź","Polesie","28 Pułku Strzelców Kaniowskich","16-26(p), 17-31(n)","Łódź","Łódź","łódzkie"
"90-128","Łódź","Śródmieście","Sałacińskiego Bronisława Pl.","","Łódź","Łódź","łódzkie"
"91-431","Łódź","Bałuty","Bojowników Getta Warszawskiego","1-DK(n)","Łódź","Łódź","łódzkie"
"91-498","Łódź","Bałuty","Romantyczna Al.","","Łódź","Łódź","łódzkie"
"93-424","Łódź","Górna","Foniczna","","Łódź","Łódź","łódzkie"
"93-447","Łódź","Górna","Kutrowa","","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"94-020","Łódź","Polesie","Celna","","Łódź","Łódź","łódzkie"
"90-563","Łódź","Polesie","Łąkowa","2-16(p)","Łódź","Łódź","łódzkie"
"91-713","Łódź","Bałuty","Nowopolska","20","Łódź","Łódź","łódzkie"
"91-604","Łódź","Bałuty","Strykowska","38-98(p), 97-115(n)","Łódź","Łódź","łódzkie"
"91-002","Łódź","Bałuty","Zgierska","2-20(p)","Łódź","Łódź","łódzkie"
"92-441","Łódź","Widzew","Rycerski Pl.","","Łódź","Łódź","łódzkie"
"93-026","Łódź","Górna","Tuszyńska","38-54(p), 47-67(n)","Łódź","Łódź","łódzkie"
"90-750","Łódź","Polesie","28 Pułku Strzelców Kaniowskich","2-14(p)","Łódź","Łódź","łódzkie"
"90-231","Łódź","Śródmieście","Sempołowskiej Stefanii","","Łódź","Łódź","łódzkie"
"91-438","Łódź","Bałuty","Bojowników Getta Warszawskiego","2-DK(p)","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"91-605","Łódź","Bałuty","Rosickiego Andrzeja","","Łódź","Łódź","łódzkie"
"93-425","Łódź","Górna","Foremna","","Łódź","Łódź","łódzkie"
"93-327","Łódź","Górna","Kwartalna","","Łódź","Łódź","łódzkie"
"94-028","Łódź","Polesie","Chodkiewicza Karola","","Łódź","Łódź","łódzkie"
"94-213","Łódź","Polesie","Łubinowa","1-31(n), 2-24(p)","Łódź","Łódź","łódzkie"
"91-712","Łódź","Bałuty","Nowopolska","2-16(p)","Łódź","Łódź","łódzkie"
"91-614","Łódź","Bałuty","Strzeleckiego Pawła Edmunda","","Łódź","Łódź","łódzkie"
"91-059","Łódź","Bałuty","Zgierska","22-52(p)","Łódź","Łódź","łódzkie"
"92-007","Łódź","Widzew","Rysy","","Łódź","Łódź","łódzkie"
"93-305","Łódź","Górna","Tuszyńska","82-110a(p)","Łódź","Łódź","łódzkie"
"(adsbygoogle = window.adsbygoogle || []).push({});"
"90-640","Łódź","Polesie","28 Pułku Strzelców Kaniowskich","28-46(p), 33-57(n)","Łódź","Łódź","łódzkie"
"90-113","Łódź","Śródmieście","Sienkiewicza Henryka","1-14","Łódź","Łódź","łódzkie"
"91-360","Łódź","Bałuty","Boksytowa","","Łódź","Łódź","łódzkie"
"91-051","Łódź","Bałuty","Rybna","2-DK(p)","Łódź","Łódź","łódzkie"
"93-373","Łódź","Górna","Frycza-Modrzewskiego Andrzeja","","Łódź","Łódź","łódzkie"
"93-428","Łódź","Górna","Kwaterunkowa","","Łódź","Łódź","łódzkie"
"94-221","Łódź","Polesie","Cyganka","","Łódź","Łódź","łódzkie"
